component,depends_on,relationship_weight
storefront,api_gateway,5
mobile_app,api_gateway,4
admin_portal,api_gateway,2
api_gateway,authentication,5
api_gateway,user_service,4
api_gateway,order_service,5
authentication,user_database,5
authentication,crypto_service,5
authentication,logging,3
user_service,user_database,5
user_service,logging,3
order_service,order_database,5
order_service,payment_service,5
order_service,inventory_service,4
payment_service,payment_gateway,5
payment_service,logging,4
inventory_service,inventory_database,5
inventory_service,logging,3
monitoring,logging,5
logging,monitoring,2
analytics,user_database,3
analytics,order_database,4
analytics,data_warehouse,5
reporting,data_warehouse,5
