follower,followed
User_0,User_155
User_0,User_266
User_0,User_314
User_0,User_336
User_1,User_141
User_1,User_144
User_1,User_170
User_1,User_209
User_1,User_387
User_1,User_488
User_10,User_318
User_100,User_168
User_100,User_234
User_100,User_325
User_101,User_196
User_101,User_366
User_101,User_75
User_101,User_78
User_102,User_245
User_102,User_418
User_102,User_429
User_102,User_453
User_102,User_67
User_103,User_352
User_103,User_423
User_104,User_154
User_104,User_189
User_104,User_203
User_104,User_210
User_104,User_342
User_104,User_351
User_105,User_266
User_105,User_367
User_105,User_412
User_105,User_416
User_105,User_426
User_106,User_300
User_106,User_320
User_106,User_445
User_107,User_224
User_107,User_392
User_108,User_135
User_108,User_328
User_108,User_461
User_108,User_467
User_108,User_479
User_108,User_79
User_109,User_105
User_109,User_174
User_109,User_244
User_109,User_259
User_109,User_261
User_109,User_276
User_109,User_442
User_11,User_152
User_110,User_192
User_110,User_220
User_110,User_378
User_110,User_416
User_110,User_427
User_111,User_119
User_111,User_217
User_111,User_227
User_111,User_238
User_111,User_245
User_111,User_390
User_112,User_139
User_112,User_229
User_112,User_249
User_112,User_3
User_112,User_325
User_112,User_70
User_112,User_90
User_113,User_112
User_113,User_170
User_113,User_228
User_113,User_261
User_113,User_331
User_113,User_418
User_114,User_12
User_114,User_14
User_114,User_427
User_114,User_433
User_114,User_71
User_115,User_153
User_115,User_177
User_115,User_32
User_115,User_412
User_115,User_430
User_115,User_440
User_115,User_482
User_115,User_70
User_116,User_184
User_116,User_211
User_116,User_369
User_116,User_395
User_117,User_126
User_117,User_194
User_117,User_256
User_117,User_301
User_117,User_310
User_117,User_34
User_117,User_420
User_118,User_147
User_118,User_196
User_118,User_236
User_118,User_273
User_118,User_34
User_118,User_429
User_119,User_241
User_119,User_273
User_12,User_23
User_12,User_247
User_12,User_317
User_12,User_379
User_120,User_197
User_120,User_206
User_120,User_31
User_120,User_323
User_120,User_437
User_120,User_454
User_121,User_107
User_121,User_142
User_121,User_154
User_121,User_301
User_121,User_404
User_121,User_442
User_122,User_135
User_122,User_156
User_122,User_158
User_122,User_214
User_122,User_292
User_123,User_105
User_123,User_110
User_123,User_290
User_123,User_353
User_123,User_368
User_123,User_375
User_123,User_434
User_123,User_98
User_124,User_156
User_124,User_16
User_124,User_166
User_124,User_25
User_124,User_356
User_125,User_243
User_125,User_255
User_125,User_271
User_125,User_379
User_125,User_412
User_125,User_425
User_125,User_83
User_126,User_142
User_126,User_296
User_126,User_348
User_126,User_362
User_126,User_369
User_126,User_381
User_126,User_389
User_126,User_430
User_126,User_72
User_127,User_136
User_127,User_491
User_127,User_492
User_127,User_60
User_128,User_118
User_128,User_13
User_128,User_233
User_128,User_26
User_128,User_347
User_128,User_408
User_128,User_483
User_128,User_497
User_129,User_337
User_129,User_370
User_129,User_417
User_13,User_212
User_13,User_287
User_13,User_311
User_13,User_45
User_13,User_475
User_13,User_487
User_13,User_67
User_130,User_104
User_130,User_22
User_131,User_101
User_131,User_367
User_131,User_382
User_132,User_174
User_132,User_384
User_133,User_184
User_133,User_194
User_133,User_334
User_133,User_360
User_134,User_178
User_134,User_382
User_134,User_396
User_135,User_173
User_135,User_258
User_135,User_333
User_135,User_372
User_135,User_495
User_135,User_67
User_135,User_71
User_136,User_14
User_136,User_230
User_136,User_281
User_136,User_410
User_136,User_420
User_136,User_488
User_137,User_33
User_138,User_156
User_138,User_473
User_138,User_52
User_139,User_110
User_139,User_144
User_139,User_171
User_139,User_212
User_139,User_226
User_139,User_230
User_139,User_425
User_139,User_63
User_14,User_199
