nodes,edges,batch_size,returned_neighbors,correctness,networkx_cold_ms,ladybug_cold_ms,networkx_warm_median_ms,ladybug_warm_median_ms,networkx_warm_p95_ms,ladybug_warm_p95_ms,networkx_ms_per_node,ladybug_ms_per_node,networkx_batches_per_second,ladybug_batches_per_second,networkx_nodes_per_second,ladybug_nodes_per_second,winner,speedup
1000,5000,1,1,True,0.003333,4.842708,0.000313,0.515541,0.000375,0.6885,0.000312502,0.515541491,3199975.63,1939.71,3199975.63,1939.71,NetworkX,1649.7202
1000,5000,10,37,True,0.009125,2.411042,0.002062,0.549625,0.002167,0.637167,0.000206249,0.054962451,484849.92,1819.42,4848499.24,18194.24,NetworkX,266.4854
1000,5000,100,482,True,0.049833,1.0415,0.021208,0.978229,0.021708,1.093917,0.00021208,0.00978229,47152.01,1022.26,4715200.72,102225.55,NetworkX,46.1255
1000,5000,1000,5000,True,0.261792,6.587791,0.209,6.104583,0.225125,6.4355,0.000209,0.006104583,4784.69,163.81,4784688.87,163811.35,NetworkX,29.2085
10000,50000,1,4,True,0.004208,1.341417,0.000375,0.687792,0.0005,0.798333,0.000375003,0.6877915,2666646.36,1453.93,2666646.36,1453.93,NetworkX,1834.0967
10000,50000,10,62,True,0.010167,1.771583,0.002042,0.82202,0.010708,0.894958,0.0002042,0.08220205,489716.56,1216.51,4897165.63,12165.15,NetworkX,402.5571
10000,50000,100,475,True,0.072041,1.763042,0.020333,1.704938,0.023917,1.851708,0.00020333,0.01704938,49181.12,586.53,4918112.08,58653.16,NetworkX,83.8508
10000,50000,1000,5032,True,0.538209,9.471125,0.21,9.488792,0.306333,9.794083,0.00021,0.009488792,4761.9,105.39,4761904.8,105387.49,NetworkX,45.1847
100000,500000,1,2,True,0.003375,1.357917,0.000334,0.715521,0.000417,0.86,0.000334003,0.715521004,2993986.57,1397.58,2993986.57,1397.58,NetworkX,2142.2603
100000,500000,10,49,True,0.013708,3.85575,0.002,2.709146,0.002125,2.924083,0.0002,0.2709146,499999.83,369.12,4999998.31,3691.2,NetworkX,1354.5725
100000,500000,100,498,True,0.118792,7.335375,0.020833,7.17302,0.031917,7.461875,0.00020833,0.071730205,48000.76,139.41,4800076.33,13941.13,NetworkX,344.3105
100000,500000,1000,4939,True,0.806125,44.182875,0.220855,43.024062,0.226,44.161959,0.000220855,0.043024062,4527.87,23.24,4527867.8,23242.81,NetworkX,194.8073
